         Part Number       Quantity   Unit Cost  Unit Price     Total Cost    Total Price
            53972005              43        22.81        22.81          980.83         1225.93
            81912584              99        26.86        26.86         2659.14         3162.06
            44481271              78        27.03        27.03         2108.34         2512.38
            53717044              66        16.04        16.04         1058.64         1358.94
            11587650              37        10.76        10.76          398.12          552.04
            40160899              46        10.83        10.83          498.18          668.38
            41818150              51        13.22        13.22          674.22          968.49
            69855441              96        15.56        15.56         1493.76         1801.92
            47553915              25        19.60        19.60          490.00          631.00
            59189425              89        22.54        22.54         2006.06         2441.27
            57667879              22        16.21        16.21          356.62          484.88
            86012790               1        11.18        11.18           11.18           15.75
            76147512              40        24.26        24.26          970.40         1096.00
            16224831              41        11.63        11.63          476.83          675.27
            67317709              16        10.27        10.27          164.32          240.48
            75630018              41        10.08        10.08          413.28          642.88
            74877073              90        19.64        19.64         1767.60         2038.50
            32895121              61        28.99        28.99         1768.39         1986.77
            37413158              28        28.57        28.57          799.96          933.52
            76502369               7        12.35        12.35           86.45          115.29
            31641263              48        20.95        20.95         1005.60         1256.16
            24955147             100        15.08        15.08         1508.00         2076.00
            29691501              57        22.78        22.78         1298.46         1611.96
            39458442              23        20.49        20.49          471.27          599.38
            49263193              93        29.39        29.39         2733.27         3244.77
            32728517              82        15.43        15.43         1265.26         1605.56
            73831091              86        25.67        25.67         2207.62         2597.20
            81138617              46        15.15        15.15          696.90          908.96
            43051474              81        20.39        20.39         1651.59         2041.20
            49996948              32        21.50        21.50          688.00          852.48
            23026496              35        20.95        20.95          733.25          871.50
            77086674              85        18.06        18.06         1535.10         2029.80
            22231544              65        23.11        23.11         1502.15         1830.40
            61965647              88        24.88        24.88         2189.44         2554.64
            22307784              99        14.22        14.22         1407.78         1977.03
            15963630               5        29.36        29.36          146.80          164.65
            68324629               6        24.98        24.98          149.88          183.66
            28166727               8        17.58        17.58          140.64          186.72
            34092153               3        23.76        23.76           71.28           87.60
            62111634               1        16.41        16.41           16.41           19.97
            60384491              55        28.17        28.17         1549.35         1789.15
            50295179              88        23.09        23.09         2031.92         2472.80
            39421903              19        10.45        10.45          198.55          309.51
            75529079              28        29.27        29.27          819.56          926.24
            66125098              44        22.44        22.44          987.36         1250.04
            33686751              46        20.10        20.10          924.60         1092.04
            77435552              39        12.08        12.08          471.12          675.87
            79900665              22        21.35        21.35          469.70          549.78
            30174319              22        29.51        29.51          649.22          735.46
            88304184              84        18.55        18.55         1558.20         1943.76
            69730813              84        12.39        12.39         1040.76         1481.76
            56886748              18        24.94        24.94          448.92          556.56
            60410146              21        26.93        26.93          565.53          679.14
            32216703              97        23.12        23.12         2242.64         2796.51
            14698138              39        15.68        15.68          611.52          822.12
            34751590              46        12.60        12.60          579.60          759.92
            32945551              21        21.25        21.25          446.25          548.10
            70178351               1        19.18        19.18           19.18           24.56
            21094940              53        12.59        12.59          667.27          917.43
            66314342              42        21.79        21.79          915.18         1158.36
            25725760              15        26.82        26.82          402.30          482.55
            80101956              97        23.40        23.40         2269.80         2740.25
            71852096              57        26.92        26.92         1534.44         1750.47
            41555059              44        27.38        27.38         1204.72         1450.68
            74375297              31        12.28        12.28          380.68          564.51
            31187804              66        20.23        20.23         1335.18         1680.36
            49493175              39        14.55        14.55          567.45          742.17
            66028170              21        17.59        17.59          369.39          494.97
            22442765              20        14.24        14.24          284.80          367.80
            63706075              21        15.39        15.39          323.19          446.46
            58485457               5        23.64        23.64          118.20          140.90
            88550476              20        21.62        21.62          432.40          497.20
            77086936              79        19.91        19.91         1572.89         2038.99
            35537534              60        27.18        27.18         1630.80         1929.60
            35342162              75        29.91        29.91         2243.25         2598.75
